"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: NG LGA/Health Facility TB Central Register Column Mapping"
"NgTBCentralRegister","NgTBCentralRegister","","","",0,*,"","","","null {[]} {[]}
","NG LGA/Health Facility Tuberculosis Central Register","Logical model for the Nigeria National Tuberculosis and Leprosy Control
Programme NTBLCP/TB 08 Local Government Area/Health Facility Tuberculosis
Central Register. One model instance represents a TB central register and
contains repeatable patient entries covering registration, treatment
initiation, disease classification, referral, bacteriological monitoring,
"NgTBCentralRegister.entry.afbMonitoring.modifierExtension","NgTBCentralRegister.entry.afbMonitoring.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NgTBCentralRegister.entry.afbMonitoring.timePoint","NgTBCentralRegister.entry.afbMonitoring.timePoint","","","",1,1,"","","","code {[]} {[]}
","Treatment monitoring time point","Monitoring time point represented in the source register.

Expected values:
month-0;
month-2-or-3;
month-5;
month-6.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry.afbMonitoring.timePoint",1,1,"","","RIGHT: AFB - Month 0 / Month 2 or 3 / Month 5 / Month 6"
"NgTBCentralRegister.entry.afbMonitoring.smearResult","NgTBCentralRegister.entry.afbMonitoring.smearResult","","","",0,1,"","","","string {[]} {[]}
","Smear result","AFB smear result recorded at the specified treatment-monitoring time point.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry.afbMonitoring.smearResult",0,1,"","","RIGHT: AFB - Smear Result"
"NgTBCentralRegister.entry.afbMonitoring.examinationDate","NgTBCentralRegister.entry.afbMonitoring.examinationDate","","","",0,1,"","","","date {[]} {[]}
","Examination date","Date associated with the smear examination.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry.afbMonitoring.examinationDate",0,1,"","","RIGHT: AFB - Date/Lab No"
"NgTBCentralRegister.entry.afbMonitoring.laboratoryNumber","NgTBCentralRegister.entry.afbMonitoring.laboratoryNumber","","","",0,1,"","","","string {[]} {[]}
","Laboratory number","Laboratory number associated with the smear examination.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry.afbMonitoring.laboratoryNumber",0,1,"","","RIGHT: AFB - Date/Lab No"
"NgTBCentralRegister.entry.xraySuggestive","NgTBCentralRegister.entry.xraySuggestive","","","",0,1,"","","","boolean {[]} {[]}
","X-Ray result suggestive","Indicates whether the X-ray result was suggestive of TB.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry.xraySuggestive",0,1,"","","RIGHT: X-Ray Result - Suggestive? Y/N"
"NgTBCentralRegister.entry.biopsySuggestive","NgTBCentralRegister.entry.biopsySuggestive","","","",0,1,"","","","boolean {[]} {[]}
","Biopsy result suggestive","Indicates whether the biopsy result was suggestive of TB.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry.biopsySuggestive",0,1,"","","RIGHT: Biopsy Result - Suggestive? Y/N"
"NgTBCentralRegister.entry.treatmentOutcome","NgTBCentralRegister.entry.treatmentOutcome","","","",0,1,"","","","code {[]} {[]}
","Treatment outcome","Final TB treatment outcome.

Source categories are:
Cured;
Treatment completed;
Treatment failed;
Died;
Lost to follow-up;
Not evaluated;
Removed from TB treatment register.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry.treatmentOutcome",0,1,"","","RIGHT: Treatment outcome"
"NgTBCentralRegister.entry.treatmentOutcomeDate","NgTBCentralRegister.entry.treatmentOutcomeDate","","","",0,1,"","","","date {[]} {[]}
","Treatment outcome date","Date the treatment outcome was assigned.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry.treatmentOutcomeDate",0,1,"","","RIGHT: Date treatment outcome was assigned"
"NgTBCentralRegister.entry.previouslyKnownHivStatus","NgTBCentralRegister.entry.previouslyKnownHivStatus","","","",0,1,"","","","code {[]} {[]}
","Previously known HIV status","HIV status known before the current TB episode.
Source values are Positive or Negative.","","","","","","","","","",,,,,"",,,,"NgTBCentralRegister.entry.previouslyKnownHivStatus",0,1,"","","RIGHT: TB/HIV activities - Previously known HIV Status"
