"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: NG HIV Tracking Register Column Mapping"
"NgHivTrackingRegister.entry.trackingAttempt","NgHivTrackingRegister.entry.trackingAttempt","","","",0,5,"","","","BackboneElement {[]} {[]}
","T19–T23 Tracking attempt","A tracking attempt made by phone call or home visit. Each stage should occur no more than once per entry.","","","","","","","","","",,,,,"",,,,"NgHivTrackingRegister.entry.trackingAttempt",0,5,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"NgHivTrackingRegister.entry.trackingAttempt.id","NgHivTrackingRegister.entry.trackingAttempt.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"NgHivTrackingRegister.entry.trackingAttempt.extension","NgHivTrackingRegister.entry.trackingAttempt.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NgHivTrackingRegister.entry.trackingAttempt.modifierExtension","NgHivTrackingRegister.entry.trackingAttempt.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NgHivTrackingRegister.entry.trackingAttempt.stage","NgHivTrackingRegister.entry.trackingAttempt.stage","","","",1,1,"","","","Coding {[]} {[]}
","Tracking-attempt stage","First, second, third, fourth or final attempt at the end of the tracking period.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-hiv-tracking-attempt-stage-vs","",,,,"NgHivTrackingRegister.entry.trackingAttempt.stage",1,1,"","","T19 attempt 1 / T20 attempt 2 / T21 attempt 3 / T22 attempt 4 / T23 final attempt"
"NgHivTrackingRegister.entry.trackingAttempt.mode","NgHivTrackingRegister.entry.trackingAttempt.mode","","","",0,1,"","","","Coding {[]} {[]}
","Tracking mode","Mode used for the attempt.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-hiv-tracking-mode-vs","",,,,"NgHivTrackingRegister.entry.trackingAttempt.mode",0,1,"","","T19–T23 Tracking mode"
"NgHivTrackingRegister.entry.trackingAttempt.personContacted","NgHivTrackingRegister.entry.trackingAttempt.personContacted","","","",0,1,"","","","Coding {[]} {[]}
","Person contacted","Guardian, client, treatment partner or not contacted.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-hiv-tracking-person-contacted-vs","",,,,"NgHivTrackingRegister.entry.trackingAttempt.personContacted",0,1,"","","T19–T23 Person contacted"
"NgHivTrackingRegister.entry.trackingAttempt.reasonForDefaulting","NgHivTrackingRegister.entry.trackingAttempt.reasonForDefaulting","","","",0,1,"","","","Coding {[]} {[]}
","Reason for defaulting","Reason the client missed the appointment when successful contact established the cause.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-hiv-tracking-default-reason-vs","",,,,"NgHivTrackingRegister.entry.trackingAttempt.reasonForDefaulting",0,1,"","","T19–T23 Reason for defaulting"
"NgHivTrackingRegister.entry.trackingAttempt.reasonForDefaultingOther","NgHivTrackingRegister.entry.trackingAttempt.reasonForDefaultingOther","","","",0,1,"","","","string {[]} {[]}
","Other reason for defaulting","Narrative description when reason-for-defaulting code 11 is selected.","","","","","","","","","",,,,,"",,,,"NgHivTrackingRegister.entry.trackingAttempt.reasonForDefaultingOther",0,1,"","","T19–T23 code 11 narrative"
"NgHivTrackingRegister.entry.careDiscontinued","NgHivTrackingRegister.entry.careDiscontinued","","","",1,1,"","","","boolean {[]} {[]}
","T24 Care in facility discontinued","True when the client no longer receives HIV care at the facility.","","","","","","","","","",,,,,"",,,,"NgHivTrackingRegister.entry.careDiscontinued",1,1,"","","T24 Yes / No"
